glyph_name,ps_name,sort_final
DevN.Na,uni0928094D0928,560
DevNaR,uni0928094D0930,561
DevHalfNaR,uni0928094D0930094D.half,562
DevNaNukta,uni0929,563
DevHalfNaNukta,uni0929094D.half,564
DevNaNuktaR,uni0929094D0930,565
DevHalfNaNuktaR,uni0929094D0930094D.half,566
DevPa,uni092A,567
DevPaNukta,uni092A093C,568
DevHalfPaNukta,uni092A093C094D.half,569
DevPaNuktaR,uni092A093C094D0930,570
DevHalfPaNuktaR,uni092A093C094D0930094D.half,571
DevHalfPa,uni092A094D.half,572
DevP.Ta,uni092A094D0924,573
DevPaR,uni092A094D0930,574
DevHalfPaR,uni092A094D0930094D.half,575
DevPha,uni092B,576
DevHalfPha,uni092B094D.half,577
DevPhaR,uni092B094D0930,578
DevHalfPhaR,uni092B094D0930094D.half,579
DevBa,uni092C,580
DevBaNukta,uni092C093C,581
DevHalfBaNukta,uni092C093C094D.half,582
DevBaNuktaR,uni092C093C094D0930,583
DevHalfBaNuktaR,uni092C093C094D0930094D.half,584
DevHalfBa,uni092C094D.half,585
DevBaR,uni092C094D0930,586
DevHalfBaR,uni092C094D0930094D.half,587
DevBha,uni092D,588
DevBhaNukta,uni092D093C,589
DevHalfBhaNukta,uni092D093C094D.half,590
DevBhaNuktaR,uni092D093C094D0930,591
DevHalfBhaNuktaR,uni092D093C094D0930094D.half,592
DevHalfBha,uni092D094D.half,593
DevBhaR,uni092D094D0930,594
DevHalfBhaR,uni092D094D0930094D.half,595
DevMa,uni092E,596
DevMaNukta,uni092E093C,597
DevHalfMaNukta,uni092E093C094D.half,598
DevMaNuktaR,uni092E093C094D0930,599
DevHalfMaNuktaR,uni092E093C094D0930094D.half,600
DevHalfMa,uni092E094D.half,601
DevMaR,uni092E094D0930,602
DevHalfMaR,uni092E094D0930094D.half,603
DevM.La,uni092E094D0932,604
DevM.La.alt,uni092E094D0932.alt,605
DevYa,uni092F,606
DevYa.alt,uni092F.alt,607
DevHalfYa,uni092F094D.half,608
DevHalfYa.alt,uni092F094D.half.alt,609
DevYaR,uni092F094D0930,610
DevYaR.alt,uni092F094D0930.alt,611
DevHalfYaR,uni092F094D0930094D.half,612
DevRa,uni0930,613
DevRaNuktaE,uni0930093C0947,614
DevRaNuktaAi,uni0930093C0948,615
DevR.U,uni09300941,616
DevRaMaatraU,uni09300941.alt,617
DevR.UNukta,uni09300941093C,618
DevRaMaatraUNukta,uni09300941093C.alt,619
DevR.UU,uni09300942,620
DevRaMaatraUU,uni09300942.alt,621
DevR.UUNukta,uni09300942093C,622
DevRaMaatraUUNukta,uni09300942093C.alt,623
DevRaE,uni09300947,624
DevRaAi,uni09300948,625
DevHalfRa,uni0930094D.half,626
DevRaReph,uni0930094D.reph,627
DevRaReph.alt,uni0930094D.reph.alt,628
DevRaReph.alt2,uni0930094D.reph.alt2,629
DevRephCandrabindu,uni0930094D0901,630
DevRephBindu,uni0930094D0902,631
DevRa.Ya,uni0930094D200C092F.alt,632
DevRa.HalfYa,uni0930094D200C092F094D.alt.half,633
DevRa.YaRa,uni0930094D200C092F094D0930.alt,634
DevRa.YaNukta,uni0930094D200C095F.alt,635
DevRa.HalfYaNukta,uni0930094D200C095F094D.alt.half,636
DevRa.YaNuktaRa,uni0930094D200C095F094D0930.alt,637
DevRaNukta,uni0931,638
DevRNukta.U,uni09310941,639
DevRaNuktaMaatraU,uni09310941.alt,640
DevRNukta.UNukta,uni09310941093C,641
DevRaNuktaMaatraUNukta,uni09310941093C.alt,642
DevRNukta.UU,uni09310942,643
DevRaNuktaMaatraUU,uni09310942.alt,644
DevRNukta.UUNukta,uni09310942093C,645
DevRaNuktaMaatraUUNukta,uni09310942093C.alt,646
DevHalfRaNukta,uni0931094D.half,647
DevLa,uni0932,648
DevLaNukta,uni0932093C,649
DevHalfLaNukta,uni0932093C094D.half,650
DevLaNuktaR,uni0932093C094D0930,651
DevHalfLaNuktaR,uni0932093C094D0930094D.half,652
DevHalfLa,uni0932094D.half,653
